Region,Anzsic_descriptor,Sub_industry,Household_category,Gas,Year,Data_value,Units,Magnitude
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,54.56,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,50.68,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,73.62,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,62.39,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,61.21,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,60.24,Kilotonnes,Carbon dioxide equivalents
Marlborough,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,49.57,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,58.21,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,50.65,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2009,61.91,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2010,61.43,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2011,53.42,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2012,59.53,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2013,73.51,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2014,60.3,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2015,62.41,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2016,69.22,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2017,59.32,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2018,48.88,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2019,53.89,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2020,57.41,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2021,56.78,Kilotonnes,Carbon dioxide equivalents
Northland,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2022,56.5,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2007,42.45,Kilotonnes,Carbon dioxide equivalents
Otago,"Forestry and logging, fishing, and agricultural support services",Total,Total,Carbon dioxide equivalents,2008,41.09,Kilotonnes,Carbon dioxide equivalents
